"rain" "evaporation" "flow"
"436" 4.212 0.305 0.33011525
"437" 0.9753 0.9816 0.33513741
"438" 7.6218 1.0576 0.37279255
"439" 10.2868 0.3661 0.39664007
"440" 12.3167 0.2591 0.5610727
"441" 0 0.944 0.83595745
"442" 0 1.4607 1.1673271
"443" 22.1849 0.6383 1.0920168
"444" 1.1206 0.4957 1.0028989
"445" 0 0.9352 1.4811259
"446" 0 1.3056 1.6317509
"447" 2.5098 1.2838 1.5689894
"448" 13.8939 0.4299 1.2677438
"449" 0 1.5618 1.0694238
"450" 0 1.557 0.96022163
"451" 0 1.0853 0.93888298
"452" 0.9236 0.3085 0.83595745
"453" 8.9792 0.2895 0.72173316
"454" 0 2.0498 0.74056294
"455" 0 1.7036 0.91754433
"456" 0 1.6296 0.83595745
"457" 1.4106 1.3863 0.72173316
"458" 3.0564 0.691 0.63136082
"459" 0 0.8916 0.57864362
"460" 0.084 1.4475 0.54349734
"461" 15.2732 0.6658 0.52718085
"462" 111.3278 0.5727 0.61378989
"463" 67.8288 0.283 6.5897562
"464" 0 1.5789 28.11629
"465" 0 1.0732 45.940013
"466" 2.0599 0.9797 39.036463
"467" 9.1247 0.5381 18.20027
"468" 6.2099 0.1314 7.0290736
"469" 2.6101 0.7697 5.8240913
"470" 3.9947 1.3724 5.0207668
"471" 1.6965 0.4098 4.1170301
"472" 3.2803 0.7892 3.4266755
"473" 14.2055 0.2743 3.5772961
"474" 0 0.3203 3.92875
"475" 0.084 1.0284 3.2007402
"476" 0.5668 0.6415 2.82418
"477" 0 0.2647 2.4476241
"478" 0 0.2679 2.0083067
"479" 0.5668 1.1105 1.694508
"480" 0.3779 1.4549 1.5313342
"481" 2.2671 1.8918 1.4183688
"482" 2.1699 1.7289 1.3430541
"483" 26.2919 1.7345 1.8827881
"484" 2.581 0.1257 2.6861082
"485" 0 0.4684 3.6651596
"486" 2.1313 1.0867 3.6651596
"487" 0 1.8874 3.2007402
"488" 0.8939 1.6957 2.6359043
"489" 1.8916 1.779 2.259344
"490" 16.1516 0.5761 1.8200266
"491" 0 1.351 2.6986613
"492" 2.8428 1.2105 3.5772961
"493" 0 2.4198 3.5772961
"494" 0.954 1.6703 2.8994947
"495" 0 1.0463 2.3221055
"496" 0 1.2021 1.9455452
"497" 17.9568 0.4599 1.6317509
"498" 21.4155 0.237 4.0166135
"499" 0.027 0.5584 5.4224291
"500" 3.6474 1.44 5.0207668
"501" 122.5494 0.5279 7.832398
"502" 6.5646 0.6227 24.225199
"503" 0 2.5852 28.618369
"504" 0 2.6285 30.877717
"505" 0 2.4441 19.329951
"506" 0 2.6992 6.577203
"507" 0 2.5894 3.8408865
"508" 0 2.756 2.974805
"509" 1.6545 1.9965 2.3221055
"510" 22.6945 0.7156 2.1338254
"511" 0 2.6222 3.0501152
"512" 0 2.8127 3.1254255
"513" 0 2.4592 3.2007402
"514" 0.6046 3.141 2.5103812
"515" 0 2.7639 1.9455452
"516" 0.1796 1.6377 1.5313342
"517" 13.586 2.9731 1.6317509
"518" 1.0425 2.5925 2.0083067
"519" 11.6668 0.601 2.0083067
"520" 14.4047 0.1907 2.974805
"521" 1.069 0.2622 3.5019858
"522" 4.2645 0.189 3.4266755
"523" 5.4415 2.2989 3.2760505
"524" 9e-04 4.4302 2.974805
"525" 0 2.6651 2.82418
"526" 0.1456 3.3029 2.5731427
"527" 0 2.7828 2.0083067
"528" 1.9273 1.6421 1.5313342
"529" 32.4479 0.6889 1.6317509
"530" 0 3.3072 3.6651596
"531" 13.3561 0.4765 5.2215957
"532" 0 1.6262 8.0457801
"533" 0 3.1951 5.5228457
"534" 0.4702 4.2216 3.6651596
"535" 10.6261 1.3599 2.8994947
"536" 0.1446 2.9637 2.6359043
"537" 2.6735 1.0745 2.5731427
"538" 0 5.1927 2.4476241
"539" 1.2091 4.5931 2.0710683
"540" 0.5374 2.7947 1.6317509
"541" 0 2.3893 1.3179521
"542" 0 2.16 1.1924335
"543" 27.478 2.3451 1.4685727
"544" 0.0076 3.9724 2.5103812
"545" 0.0011 5.6274 2.5103812
"546" 0 4.1804 2.259344
"547" 1.6285 1.9573 1.694508
"548" 7.3348 0.4163 1.2175355
"549" 0 2.595 1.2426418
"550" 0.3402 2.1235 1.2426418
"551" 0.2099 1.1486 1.1422252
"552" 0.6046 5.1597 1.0242376
"553" 0 4.388 0.91754433
"554" 0 3.6945 0.83595745
"555" 0.2015 4.8468 0.77821809
"556" 0 4.3283 0.72173316
"557" 0 3.2917 0.7029078
"558" 10.757 3.8204 0.79704787
"559" 0 2.6034 0.91754433
"560" 0 2.0591 0.75939273
"561" 0 5.092 0.68533688
"562" 0 4.8483 0.63136082
"563" 0 4.0251 0.59621454
"564" 5.4165 1.0255 0.59621454
"565" 4.4404 2.2117 0.63136082
"566" 0 3.0629 0.64893617
"567" 0 6.051 0.63136082
"568" 0 5.4192 0.59621454
"569" 0 4.207 0.5610727
"570" 0 4.3545 0.52718085
"571" 5.8754 2.4761 0.50960993
"572" 4.9084 2.0156 0.50960993
"573" 0 5.2906 0.5610727
"574" 1.1524 2.4089 0.52718085
"575" 11.1371 2.3654 0.52718085
"576" 10.9493 1.0467 0.57864362
"577" 17.4707 1.3428 0.96022163
"578" 38.9013 0.5607 1.4434707
"579" 50.292 0.8932 4.6191046
"580" 0 2.0493 8.2717154
"581" 0 2.2175 8.8365514
"582" 0 3.5933 11.183759
"583" 0 3.0543 6.3512722
"584" 0 2.884 2.7614229
"585" 0 3.6038 2.0083067
"586" 0 3.087 1.2426418
"587" 0 4.0034 0.89620567
"588" 1.6179 2.1209 0.77821809
"589" 6.5141 1.6734 0.7029078
"590" 13.303 0.5743 0.72173316
"591" 0 3.4236 0.87612589
"592" 5.4965 3.131 0.91754433
"593" 0 5.7792 0.85604167
"594" 0 5.8193 0.72173316
"595" 0 4.1024 0.63136082
"596" 1.9946 5.147 0.54349734
"597" 4.6878 3.2971 0.52718085
"598" 4.1721 1.6156 0.5610727
"599" 0.8697 3.8004 0.54349734
"600" 0 4.3066 0.50960993
"601" 0 5.524 0.47571809
"602" 0 5.5428 0.4594016
"603" 0 5.3169 0.47571809
"604" 0 3.0614 0.41170213
"605" 0 2.3337 0.39664007
"606" 0 6.1226 0.38157801
"607" 8.2229 2.7303 0.37906915
"608" 0 5.5199 0.41170213
"609" 13.3512 1.7874 0.38157801
"610" 25.0856 1.0345 0.44308067
"611" 8.3421 1.3335 0.87612589
"612" 0.5316 2.0381 0.93888298
"613" 0 5.1197 1.0920168
"614" 1.8461 1.2503 0.91754433
"615" 9.0623 1.9881 0.89620567
"616" 5.4976 3.8734 1.1673271
"617" 0 3.5537 1.1924335
"618" 2.3915 2.7562 1.0028989
"619" 0 3.8301 0.79704787
"620" 0 7.3387 0.59621454
"621" 0 7.478 0.49203457
"622" 0 6.6161 0.42676418
"623" 0 6.6895 0.38157801
"624" 0 7.152 0.35898493
"625" 0 6.6125 0.33890071
"626" 0.0378 6.4525 0.32132979
"627" 0.0057 4.1658 0.31003103
"628" 24.5635 1.3536 0.33011525
"629" 14.6925 2.4409 0.4594016
"630" 0 3.579 0.52718085
"631" 0 5.1892 0.42676418
"632" 0 7.9505 0.37906915
"633" 0 7.0188 0.33890071
"634" 0 6.3353 0.31881649
"635" 0 6.4588 0.29371454
"636" 0.6563 7.5251 0.27237589
"637" 0 6.0615 0.26233599
"638" 0 5.2967 0.24727394
"639" 0 7.7967 0.23974291
"640" 3.3553 3.9604 0.23346631
"641" 0 5.3491 0.25731383
"642" 1.6374 4.4985 0.23722961
"643" 7.3852 3.9256 0.22593528
"644" 13.5442 2.0115 0.23722961
"645" 1.1213 3.5541 0.2598227
"646" 0 5.5868 0.24727394
"647" 0 6.739 0.23722961
"648" 0.4384 4.0597 0.22342199
"649" 3.222 3.3798 0.22091312
"650" 0.042 1.272 0.21589096
"651" 28.0592 4.22 0.21589096
"652" 46.4946 1.556 0.23974291
"653" 8.7768 1.7543 0.48324911
"654" 3.6003 3.6441 0.61378989
"655" 2.4196 4.1245 0.63136082
"656" 0 5.2253 0.61378989
"657" 0 6.2384 0.47571809
"658" 0 7.2752 0.34141401
"659" 7.8893 5.3497 0.28618351
"660" 8.0404 5.4831 0.32132979
"661" 0 5.1484 0.33513741
"662" 30.4266 4.4065 0.31881649
"663" 2.991 2.265 0.29120567
"664" 11.5654 1.3324 0.34392287
"665" 27.3477 2.2286 0.41170213
"666" 9.2264 1.3088 1.6317509
"667" 25.2158 1.3981 1.4560239
"668" 0.8406 2.011 2.3221055
"669" 0 3.7423 2.0710683
"670" 0 6.8241 1.694508
"671" 0.0389 7.1014 1.3430541
"672" 3.3839 4.5695 0.77821809
"673" 0 6.3008 0.50960993
"674" 0.0205 2.7714 0.39664007
"675" 0 5.9054 0.32635195
"676" 0 7.1463 0.2962234
"677" 0 5.1815 0.27237589
"678" 0.0791 3.9079 0.25731383
"679" 9.1145 4.1865 0.25731383
"680" 0 4.3184 0.28869238
"681" 0 5.6968 0.25229167
"682" 0 5.55 0.2497828
"683" 0.0182 4.9609 0.2497828
"684" 0.7575 5.7043 0.23095745
"685" 7.9941 2.6908 0.21589096
"686" 11.0455 4.5582 0.21589096
"687" 5.4192 5.309 0.27990691
"688" 5.7215 1.7761 0.30752216
"689" 0 2.4816 0.33011525
"690" 0 6.3664 0.31254433
"691" 0 5.5104 0.27488918
"692" 0 6.1862 0.23346631
"693" 0 5.8974 0.21463652
"694" 7.8073 3.5174 0.2008289
"695" 5.9922 3.3731 0.19832004
"696" 1.8771 5.6275 0.2598227
"697" 0.3507 4.3306 0.2987367
"698" 14.6265 2.6003 0.26986702
"699" 6.8378 1.1311 0.24727394
"700" 3.2021 2.5409 0.28367465
"701" 18.2972 3.2512 0.3050133
"702" 18.0541 1.1043 0.41170213
"703" 0 5.2969 0.85604167
"704" 0 4.8584 0.83595745
"705" 0.3946 4.2445 0.7029078
"706" 0 6.2503 0.39664007
"707" 6.8646 1.3756 0.2962234
"708" 0 1.659 0.27739805
"709" 0.4375 1.7722 0.27237589
"710" 0 4.0243 0.25229167
"711" 3.676 3.6486 0.23722961
"712" 0 5.4579 0.23346631
"713" 1.2318 1.6072 0.21589096
"714" 0.0034 1.388 0.21212766
"715" 0 2.3483 0.20459663
"716" 0 1.9911 0.2033422
"717" 1.802 1.9398 0.19832004
"718" 0.1458 4.8726 0.19455674
"719" 0 2.7877 0.18953457
"720" 2.1202 4.7458 0.20961879
"721" 0 2.2211 0.23346631
"722" 0.126 2.7243 0.19455674
"723" 0 2.2953 0.18325798
"724" 0 4.3063 0.17447252
"725" 0 2.5952 0.17070479
"726" 0 1.436 0.16442819
"727" 19.2684 0.9025 0.17447252
"728" 6.1043 1.3448 0.23346631
"729" 0 1.0891 0.22844415
"730" 0 1.0397 0.21840426
"731" 0.6717 1.4338 0.20585106
"732" 0 3.4514 0.20459663
"733" 0 4.6334 0.19581117
"734" 0 1.669 0.18702571
"735" 0 4.5761 0.18074911
"736" 0.5374 4.5211 0.17572695
"737" 0 3.7996 0.17195922
"738" 0.8082 1.2517 0.16819592
"739" 0 4.1375 0.16694149
"740" 0 3.9668 0.16694149
"741" 0 4.3203 0.16317376
"742" 0 4.8226 0.15815603
"743" 0 4.4247 0.15187943
"744" 0 4.4779 0.150625
"745" 0 4.5002 0.150625
"746" 0 4.7775 0.14936613
"747" 1.7962 3.1433 0.14560284
